# Table S1 Coseismic displacements at the GPS sites. First column shows the ID number. The second and third columns show the location of the reference GPS site, while the fourth and fifth columns show the location of the observation GPS site. EW is east-west, NS is north-south, and UD is up-down components in m. Error is described in Methods. 
# ID  Latitude(ref)  Longitude(ref)  Latitude  Longitude  EW (m)  NS (m)  UD (m)  
1067  32.6694  128.8431  35.5119  139.0258  0.132  0.0405  -0.0071  
1070  32.6694  128.8431  36.2847  138.4993  0.2367  0.0451  -0.0009  
1072  32.6694  128.8431  36.0262  138.2145  0.1662  0.0361  -0.0131  
1073  32.6694  128.8431  35.9742  138.583  0.1887  0.0465  -0.0208  
1081  32.6694  128.8431  35.2044  138.9283  0.0876  0.0251  -0.0075  
1086  32.6694  128.8431  35.0472  138.9069  0.0642  0.0175  -0.0153  
1087  32.6694  128.8431  36.1036  140.0863  0.5123  0.052  -0.0875  
1207  32.6694  128.8431  36.5393  139.0567  0.3767  0.0513  -0.0104  
1208  32.6694  128.8431  36.0037  139.2693  0.2653  0.0587  -0.0217  
1209  32.6694  128.8431  35.8841  139.1822  0.2245  0.0524  -0.0281  
1210  32.6694  128.8431  35.8008  139.366  0.2275  0.0509  -0.0234  
1211  32.6694  128.8431  35.2884  140.2492  0.0922  0.0131  -0.0746  
1212  32.6694  128.8431  35.6164  139.3699  0.1745  0.0445  -0.0271  
1213  32.6694  128.8431  35.1609  139.6138  0.0796  0.0172  -0.0327  
1232  32.6694  128.8431  35.2707  138.6277  0.0917  0.0265  -0.0158  
1233  32.6694  128.8431  35.3197  138.5886  0.0959  0.0293  -0.0352  
1249  32.6694  128.8431  41.9348  140.3712  0.0832  -0.1147  0.0024  
1250  32.6694  128.8431  39.849  141.4526  0.9771  -0.8521  -0.0555  
1251  32.6694  128.8431  39.127  140.9885  1.9108  -1.0313  -0.1008  
1252  32.6694  128.8431  37.9844  140.6456  2.2292  -0.3321  -0.1597  
1253  32.6694  128.8431  40.045  140.8229  0.6274  -0.5475  0.0026  
1254  32.6694  128.8431  38.4343  140.0946  1.3641  -0.329  -0.0344  
1255  32.6694  128.8431  37.0185  140.8416  1.7113  -0.3064  -0.5028  
1256  32.6694  128.8431  37.0369  139.4022  0.62  0.0127  -0.0331  
1257  32.6694  128.8431  36.7781  138.9448  0.4114  0.0365  -0.0002  
1258  32.6694  128.8431  38.289  140.1999  1.5136  -0.3106  -0.0364  
1259  32.6694  128.8431  35.4193  139.5219  0.1326  0.0395  -0.0235  
1260  32.6694  128.8431  37.8282  139.226  0.7319  -0.0689  0.0081  
1261  32.6694  128.8431  37.777  138.8804  0.5507  -0.0503  0.0202  
1262  32.6694  128.8431  37.4987  138.7795  0.5023  -0.0172  0.0218  
1263  32.6694  128.8431  35.6737  138.4568  0.1301  0.0359  -0.0091  
1264  32.6694  128.8431  37.5897  138.9203  0.5662  -0.0266  0.0244  
1267  32.6694  128.8431  35.1142  138.9739  0.0712  0.0233  -0.0179  
1269  32.6694  128.8431  35.1172  138.61  0.0707  0.0246  -0.0132  
1270  32.6694  128.8431  35.067  138.21  0.0734  0.0177  -0.0069  
1271  32.6694  128.8431  35.0449  138.0817  0.0625  0.0189  -0.0148  
1292  32.6694  128.8431  36.4591  138.0524  0.214  0.0347  -0.0068  
1293  32.6694  128.8431  36.1057  140.0875  0.5137  0.052  -0.0917  

