# Table S1 Coseismic displacements at the GPS sites. First column shows the ID number. The second and third columns show the location of the reference GPS site, while the fourth and fifth columns show the location of the observation GPS site. EW is east-west, NS is north-south, and UD is up-down components in m. Error is described in Methods. 
# ID  Latitude(ref)  Longitude(ref)  Latitude  Longitude  EW (m)  NS (m)  UD (m)  
143  32.6694  128.8431  36.8567  138.6242  0.3613  0.0249  -0.0076  
144  32.6694  128.8431  36.7067  138.0967  0.2478  0.0269  0.0001  
145  32.6694  128.8431  36.5236  138.1209  0.2296  0.0334  -0.001  
146  32.6694  128.8431  36.261  138.366  0.2153  0.0409  -0.0003  
148  32.6694  128.8431  35.8784  138.0957  0.141  0.0311  -0.0086  
254  32.6694  128.8431  35.3608  138.7273  0.1023  0.0318  -0.0143  
257  32.6694  128.8431  36.1056  140.0871  0.5138  0.0514  -0.0861  
266  32.6694  128.8431  40.8975  140.8592  0.2306  -0.2722  0.003  
267  32.6694  128.8431  39.9421  139.7035  0.4906  -0.296  0.0356  
268  32.6694  128.8431  38.5633  139.546  0.9063  -0.227  0.0175  
269  32.6694  128.8431  35.1294  140.2494  0.0543  0.0028  -0.0446  
270  32.6694  128.8431  35.1602  139.6155  0.0775  0.0194  -0.031  
271  32.6694  128.8431  37.8148  138.2812  0.4062  -0.037  0.0211  
272  32.6694  128.8431  37.3565  138.5085  0.4087  -0.0017  0.0122  
299  32.6694  128.8431  35.3221  138.1858  0.091  0.0201  -0.0122  
330  32.6694  128.8431  36.38  138.4779  0.2503  0.0438  -0.0037  
349  32.6694  128.8431  38.9019  141.2832  2.999  -1.4029  -0.2971  
353  32.6694  128.8431  36.4448  138.4884  0.2611  0.0412  0.0087  
354  32.6694  128.8431  36.4239  138.5764  0.2723  0.0455  -0.0085  
363  32.6694  128.8431  36.1041  140.0873  0.508  0.0517  -0.0894  
373  32.6694  128.8431  38.5112  139.5338  0.9071  -0.2194  0.0248  
374  32.6694  128.8431  36.6023  139.2762  0.4471  0.0513  -0.0143  
379  32.6694  128.8431  40.7945  141.3992  0.2351  -0.3048  -0.0073  
380  32.6694  128.8431  36.7086  140.7195  1.3406  -0.1903  -0.4141  



387  32.6694  128.8431  35.758  139.6445  0.2496  0.056  -0.0505  
389  32.6694  128.8431  41.834  141.1422  0.0719  -0.1149  -0.0066  
391  32.6694  128.8431  40.5752  140.295  0.3298  -0.299  0.0203  
392  32.6694  128.8431  40.9212  140.9902  0.2181  -0.2692  0.0024  
398  32.6694  128.8431  35.0069  139.082  0.0564  0.0199  -0.0283  
400  32.6694  128.8431  36.1061  140.0872  0.5156  0.0529  -0.0964  
401  32.6694  128.8431  36.2952  139.5423  0.4208  0.0603  -0.0399  
402  32.6694  128.8431  36.2633  140.1743  0.6455  0.0272  -0.1164  
403  32.6694  128.8431  36.2037  139.8105  0.4646  0.0568  -0.0435  
404  32.6694  128.8431  36.1813  140.5445  0.8291  -0.0393  -0.2408  
405  32.6694  128.8431  36.121  139.3452  0.3118  0.0554  -0.0112  
406  32.6694  128.8431  36.0969  140.3432  0.6252  0.026  -0.1527  
407  32.6694  128.8431  36.0872  139.6367  0.3697  0.0589  -0.0446  
408  32.6694  128.8431  36.0109  139.7999  0.383  0.0642  -0.0595  
409  32.6694  128.8431  35.9554  140.6592  0.6869  -0.0011  -0.2643  
410  32.6694  128.8431  35.9704  140.403  0.5511  0.0395  -0.155  
411  32.6694  128.8431  35.9255  139.4643  0.2753  0.055  -0.0234  
412  32.6694  128.8431  35.9403  139.9927  0.3968  0.0602  -0.0739  
413  32.6694  128.8431  35.9375  139.6519  0.3133  0.0595  -0.0462  
414  32.6694  128.8431  35.8736  140.1455  0.3995  0.0571  -0.0966  
415  32.6694  128.8431  35.8033  140.407  0.4072  0.0513  -0.1182  
416  32.6694  128.8431  35.7802  139.8128  0.2815  0.0561  -0.0539  
417  32.6694  128.8431  35.7865  140.0248  0.3208  0.0593  -0.0803  
418  32.6694  128.8431  35.7104  139.4883  0.2128  0.0558  -0.0587  
419  32.6694  128.8431  35.7174  140.3151  0.3179  0.0563  -0.0868  
420  32.6694  128.8431  35.7773  140.6468  0.4328  0.0288  -0.1328  
421  32.6694  128.8431  35.7264  140.8372  0.4115  -0.0243  -0.1417  
422  32.6694  128.8431  35.6755  139.9024  0.2462  0.0532  -0.0632  
423  32.6694  128.8431  35.6424  140.4483  0.2809  0.0443  -0.0895  
424  32.6694  128.8431  35.5441  140.1866  0.2007  0.0462  -0.0688  
425  32.6694  128.8431  35.5634  139.6733  0.1831  0.0458  -0.04  
426  32.6694  128.8431  35.5301  140.3182  0.1948  0.0391  -0.0691  
427  32.6694  128.8431  35.5214  139.4678  0.1544  0.041  -0.0113  
428  32.6694  128.8431  35.4826  139.3226  0.1416  0.0407  -0.0263  
429  32.6694  128.8431  35.4478  140.0513  0.1503  0.0348  -0.0663  
430  32.6694  128.8431  35.4153  139.0452  0.1198  0.036  -0.0242  



431  32.6694  128.8431  35.4365  139.6538  0.1415  0.042  -0.0404  
432  32.6694  128.8431  35.4211  140.3374  0.1384  0.0229  -0.0506  
433  32.6694  128.8431  35.3267  139.4661  0.1091  0.0281  -0.016  
434  32.6694  128.8431  35.3049  139.2627  0.1027  0.0286  -0.0111  
435  32.6694  128.8431  35.3117  139.8255  0.108  0.0266  -0.047  
436  32.6694  128.8431  35.3331  140.1468  0.108  0.0225  -0.0555  
437  32.6694  128.8431  35.3216  138.8817  0.096  0.034  -0.027  
438  32.6694  128.8431  35.1659  140.268  0.0585  0.0011  -0.0514  
439  32.6694  128.8431  35.1486  139.1104  0.0721  0.0244  -0.0195  
440  32.6694  128.8431  35.11  138.9019  0.0755  0.0215  -0.0247  
441  32.6694  128.8431  35.1119  140.0793  0.0603  0.0043  -0.0423  
442  32.6694  128.8431  35.0148  138.9979  0.0606  0.0215  -0.0089  
457  32.6694  128.8431  35.7238  139.2681  0.1924  0.0487  -0.0119  
458  32.6694  128.8431  35.6234  138.9759  0.1472  0.0401  -0.0171  
459  32.6694  128.8431  35.6103  139.1572  0.1576  0.0457  -0.01  
460  32.6694  128.8431  35.4285  139.2049  0.1271  0.0315  -0.0122  
461  32.6694  128.8431  35.2671  139.6648  0.0985  0.0236  -0.027  
462  32.6694  128.8431  35.2455  139.0493  0.0909  0.0301  -0.0095  
463  32.6694  128.8431  35.4436  138.4452  0.1063  0.0292  0.0211  
464  32.6694  128.8431  35.4966  138.814  0.1273  0.0363  -0.0206  
465  32.6694  128.8431  35.3621  138.5634  0.0973  0.0333  -0.024  
466  32.6694  128.8431  35.3055  138.7707  0.0982  0.0306  -0.006  
467  32.6694  128.8431  35.2895  138.4457  0.0952  0.0293  -0.0122  
468  32.6694  128.8431  35.201  138.2535  0.0741  0.0229  -0.0083  
469  32.6694  128.8431  35.2032  138.617  0.0817  0.0295  -0.0183  
470  32.6694  128.8431  35.1736  138.7215  0.0805  0.0236  -0.0072  
471  32.6694  128.8431  35.0674  138.5247  0.0677  0.0185  -0.0269  
472  32.6694  128.8431  35.1035  138.3687  0.0733  0.0213  -0.007  
473  32.6694  128.8431  35.1039  138.1349  0.0627  0.0184  0  
493  32.6694  128.8431  35.0446  139.0959  0.0608  0.0185  -0.0161  
494  32.6694  128.8431  35.0406  139.171  0.0662  0.0199  -0.0178  
516  32.6694  128.8431  41.8261  140.7478  0.0842  -0.1244  -0.0004  
517  32.6694  128.8431  41.4664  140.0406  0.1381  -0.1545  0.009  
518  32.6694  128.8431  41.3008  141.2133  0.1285  -0.1829  0.0036  
519  32.6694  128.8431  40.779  140.273  0.2626  -0.2586  0.0148  
520  32.6694  128.8431  40.1335  141.7891  0.6254  -0.639  -0.0691  



521  32.6694  128.8431  39.1106  141.2039  2.3886  -1.2614  -0.205  
522  32.6694  128.8431  39.9679  139.7762  0.4913  -0.3018  0.0325  
523  32.6694  128.8431  39.3987  140.0482  0.8729  -0.4477  0.044  
524  32.6694  128.8431  38.8946  139.8089  0.9663  -0.3425  0.0128  
525  32.6694  128.8431  38.7586  140.3187  1.5092  -0.5226  -0.0335  
526  32.6694  128.8431  38.331  140.3661  1.8073  -0.402  -0.0796  
527  32.6694  128.8431  38.3175  140.9542  3.0505  -0.7792  -0.3016  
528  32.6694  128.8431  37.8007  140.9081  2.6759  -0.3882  -0.317  
529  32.6694  128.8431  37.6437  139.7915  0.9982  -0.0661  -0.0122  
530  32.6694  128.8431  37.0907  140.9025  1.8917  -0.3354  -0.494  
531  32.6694  128.8431  36.5399  140.6118  1.1375  -0.1181  -0.3319  
532  32.6694  128.8431  36.4019  139.7264  0.5081  0.0502  -0.0525  
533  32.6694  128.8431  36.697  138.9063  0.3787  0.0387  0.0003  
534  32.6694  128.8431  36.259  138.8654  0.2699  0.0433  -0.0076  
537  32.6694  128.8431  35.5903  138.5833  0.1275  0.0363  -0.0122  
538  32.6694  128.8431  38.2307  139.5096  0.9217  -0.1622  0.0189  
539  32.6694  128.8431  37.8965  138.9889  0.614  -0.0694  0.0275  
540  32.6694  128.8431  37.3977  138.5744  0.4313  -0.01  0.0189  
634  32.6694  128.8431  41.599  140.3159  0.1181  -0.1435  0.0066  
635  32.6694  128.8431  41.4553  140.8805  0.1218  -0.1673  0.0089  
636  32.6694  128.8431  41.0432  140.6359  0.1991  -0.2258  0.0082  
637  32.6694  128.8431  40.9682  141.368  0.189  -0.2507  0.0001  
638  32.6694  128.8431  40.6251  141.1978  0.3086  -0.3659  0.0032  
639  32.6694  128.8431  40.5776  139.9281  0.3114  -0.2551  0.0259  
640  32.6694  128.8431  40.5237  140.5781  0.3596  -0.3376  0.0077  
641  32.6694  128.8431  40.5154  141.5113  0.3511  -0.4181  -0.0194  
642  32.6694  128.8431  40.2911  141.0765  0.4891  -0.4997  -0.0031  
643  32.6694  128.8431  40.4052  141.7131  0.3997  -0.4617  -0.0326  
644  32.6694  128.8431  40.2912  141.2937  0.4942  -0.5305  -0.0082  
645  32.6694  128.8431  40.0486  141.462  0.7195  -0.6924  -0.0343  
646  32.6694  128.8431  39.9806  141.2251  0.7617  -0.705  -0.0192  
647  32.6694  128.8431  39.8513  141.1649  0.9108  -0.7773  -0.0114  
648  32.6694  128.8431  39.8492  141.8039  1.0294  -0.9296  -0.1439  
649  32.6694  128.8431  39.7011  140.9645  1.0307  -0.7946  -0.0126  
650  32.6694  128.8431  39.5966  141.1721  1.2717  -0.9508  -0.0243  
651  32.6694  128.8431  39.4582  141.9553  2.0745  -1.5924  -0.4662  



652  32.6694  128.8431  39.3381  141.5342  2.1333  -1.4133  -0.2426  
653  32.6694  128.8431  39.2535  141.798  2.7591  -1.8025  -0.5269  
654  32.6694  128.8431  38.8153  140.9906  2.4809  -1.033  -0.1349  
655  32.6694  128.8431  38.7489  140.8016  2.2068  -0.8451  -0.1066  
656  32.6694  128.8431  38.6827  141.4494  4.0742  -1.639  -0.7083  
657  32.6694  128.8431  38.5395  141.1475  3.4506  -1.182  -0.3743  
658  32.6694  128.8431  38.4118  140.8514  2.6609  -0.7323  -0.19  
659  32.6694  128.8431  38.0297  140.844  2.6787  -0.4632  -0.2322  
